cell_id,model,model_id_config,task_id,prompt_id,temperature,run_index,seed,status,metric_name,metric_value,latency_ms,done_reason,eval_count,prompt_eval_count,think,num_predict,budget_exhausted,prediction_empty,prediction_char_len,thinking_length,thinking_sha256
4453fccda72062264389e0f2a304f6367c18698d6e3a8885c22e21b7362e9824,qwen3_32b,qwen3:32b,task-humaneval_plus-023,minimal,0.0,3,20260407,completed,pass_at_1,1.0,8778.386588965077,stop,99,197,false,1024,False,False,314,0,
549c55602a41b4a00b923214d6cb6bd707709e90167745bb00ca859e558f4edf,qwen3_32b,qwen3:32b,task-humaneval_plus-076,explicit_reasoning,0.0,4,20260408,completed,pass_at_1,1.0,11492.094813031144,stop,126,171,false,1024,False,False,415,0,
ef0c77d1dc7a1798a7da1aa2e3e843aafc29d89fbe192df1360e40fa640f8171,qwen3_32b,qwen3:32b,task-humaneval_plus-143,minimal,0.0,2,20260406,completed,pass_at_1,1.0,6045.893731992692,stop,63,160,false,1024,False,False,266,0,
87588bb6faeada0cdddc89c2b2f05f77d94c74208aba0881e5d3f45a15c27546,qwen3_32b,qwen3:32b,task-humaneval_plus-077,professional,0.2,2,20260406,completed,pass_at_1,1.0,2217.8906479966827,stop,22,143,false,1024,False,False,90,0,
1012451d6b54a6348be07540655fb2d80f697449bf38ae04096aa35d47039c54,qwen3_32b,qwen3:32b,task-humaneval_plus-025,minimal,0.2,0,20260404,completed,pass_at_1,1.0,10744.664139987435,stop,118,150,false,1024,False,False,462,0,
652ce571f8fa0b025e0d1e53a54fb58543891c71eb145bc6c4b880ce202238c7,qwen3_32b,qwen3:32b,task-humaneval_plus-066,professional,0.2,3,20260407,completed,pass_at_1,1.0,4876.4059959794395,stop,55,167,false,1024,False,False,141,0,
f3f362d5a8662466abfbac7faf5803c596e577a02bddfddf63841febcdc9ba8e,qwen3_32b,qwen3:32b,task-humaneval_plus-059,explicit_reasoning,0.0,2,20260406,completed,pass_at_1,1.0,11953.27197498409,stop,136,156,false,1024,False,False,383,0,
18714e8b620c70fadefd9ab0863c40454834f5dc7980bb07c9d89c358163a8c8,qwen3_32b,qwen3:32b,task-humaneval_plus-033,professional,0.2,3,20260407,completed,pass_at_1,0.0,17178.073818970006,stop,194,312,false,1024,False,False,673,0,
b37d56e5720710ffdc11a88c9c72926185a700bbc8aa4758d512ff54dd7db9cb,qwen3_32b,qwen3:32b,task-humaneval_plus-140,testing_oriented,0.2,1,20260405,completed,pass_at_1,1.0,9101.356005994603,stop,102,169,false,1024,False,False,331,0,
92c37995dab16683a2d67f107ae7da63409c117120c077ed185d1afc92a46205,qwen3_32b,qwen3:32b,task-humaneval_plus-111,professional,0.2,1,20260405,completed,pass_at_1,1.0,10874.621253984515,stop,123,149,false,1024,False,False,426,0,
